gene_id	gene	log2FoldChange	padj	stat	group
ENSG00000146966	DENND2A	3.0431	0.0432	up	UB_T10_T12_vs_T3_T5
ENSG00000123364	HOXC13	2.3203	0	up	UB_T10_T12_vs_T3_T5
ENSG00000179862	CITED4	2.0778	0	up	UB_T10_T12_vs_T3_T5
ENSG00000125845	BMP2	4.1259	9e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000165633	VSTM4	-2.4529	0.0463	down	UB_T10_T12_vs_T3_T5
ENSG00000225655	BX255923.1	2.0101	0.0257	up	UB_T10_T12_vs_T3_T5
ENSG00000110675	ELMOD1	3.2604	7e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000225675	LINC01771	-2.2761	0.0248	down	UB_T10_T12_vs_T3_T5
ENSG00000072952	MRVI1	2.1141	0.0045	up	UB_T10_T12_vs_T3_T5
ENSG00000169760	NLGN1	3.2494	0.0347	up	UB_T10_T12_vs_T3_T5
ENSG00000129173	E2F8	-2.0498	0	down	UB_T10_T12_vs_T3_T5
ENSG00000104369	JPH1	-2.4067	0	down	UB_T10_T12_vs_T3_T5
ENSG00000108823	SGCA	2.0345	0.0239	up	UB_T10_T12_vs_T3_T5
ENSG00000224413	AP001476.1	-2.1997	0.0045	down	UB_T10_T12_vs_T3_T5
ENSG00000069188	SDK2	-2.1425	0.0143	down	UB_T10_T12_vs_T3_T5
ENSG00000138675	FGF5	2.3769	0	up	UB_T10_T12_vs_T3_T5
ENSG00000168481	LGI3	4.4215	1e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000089225	TBX5	2.6301	0.0367	up	UB_T10_T12_vs_T3_T5
ENSG00000110042	DTX4	2.1563	8e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000117594	HSD11B1	2.2841	0.0051	up	UB_T10_T12_vs_T3_T5
ENSG00000152208	GRID2	2.2013	0.0415	up	UB_T10_T12_vs_T3_T5
ENSG00000060140	STYK1	2.3991	0.0164	up	UB_T10_T12_vs_T3_T5
ENSG00000223298	RNY3P8	2.3129	0.0116	up	UB_T10_T12_vs_T3_T5
ENSG00000130176	CNN1	2.3046	0	up	UB_T10_T12_vs_T3_T5
ENSG00000173432	SAA1	5.3186	0	up	UB_T10_T12_vs_T3_T5
ENSG00000165300	SLITRK5	3.6994	0.0014	up	UB_T10_T12_vs_T3_T5
ENSG00000281026	N4BP2L2-IT2	-2.5727	0.0137	down	UB_T10_T12_vs_T3_T5
ENSG00000066735	KIF26A	-4.5917	0	down	UB_T10_T12_vs_T3_T5
